from,to,status,clicks,category
/separated-parents/is-narcissism-all-that-bad/,/separated-parents/,301,1,legacy-deleted fallback
/parenting-guides/,/parenthood/,301,1,legacy-deleted fallback
/2020/03/,/,301,1,legacy-deleted fallback
/your-questions-answered/,/,301,1,legacy-deleted fallback
/follower-focus-the-windsors/,/,301,1,canonical redirect
/tag/grow-instagram/,/,301,1,tag cleanup
/uncategorised/is-narcissism-all-that-bad/,/,301,1,legacy-deleted fallback
/blog/,/,301,0,legacy-deleted fallback
/parenthood/reviews/,/reviews/,301,0,legacy-deleted fallback
/10k-instagram-followers/,/about/,301,0,canonical redirect
/our-favourite-parent-bloggers/,/,301,0,canonical redirect
/tag/preparing-for-parenthood/,/,301,0,tag cleanup
/uncategorised/the-next-chapter-blended-family/,/separated-parents/introducing-a-new-partner-to-your-child-a-separated-parents-guide/,301,0,canonical redirect
/featured-on-gingerbread/,/,301,0,legacy-deleted fallback
/blog-standard/,/,301,0,legacy-deleted fallback
/2022/02/,/,301,0,legacy-deleted fallback
/a-year-of-the-breaking-dad-on-instagram/,/diary/a-year-of-the-breaking-dad-on-instagram/,301,0,canonical redirect
/featured-in-the-sunday-telegraphs-stella-magazine/,/,301,0,legacy-deleted fallback
/diary-doting-daddy/,/,301,0,canonical redirect
/parenthood/featured-on-gingerbread/,/parenthood/,301,0,legacy-deleted fallback
/featured-post/,/,301,0,legacy-deleted fallback
/tag/raising-daughters/,/separated-parents/,301,0,tag cleanup
/tag/kidkraft-majestic-mansion/,/,301,0,tag cleanup
/podcasts/,/,301,0,legacy-deleted fallback
/tag/kidkraft/,/,301,0,tag cleanup
/parenthood/guest-post-the-ultimate-guide-to-driving-safely-with-kids/,/about/,301,0,legacy-deleted fallback
/page/3/,/,301,0,legacy-deleted fallback
/parenthood/you-cant-pour-from-an-empty-cup/,/diary/you-cant-pour-from-an-empty-cup/,301,0,canonical redirect
/parenthood/our-favourite-parent-bloggers/,/,301,0,canonical redirect
/when-a-temper-tantrum-isnt-a-temper-tantrum/,/diary/when-a-temper-tantrum-isnt-a-temper-tantrum/,301,0,canonical redirect
